,0,1,date
0,"[""Australia shares retreat on Trump's virus comment""]",https://www.reuters.com/article/australia-stocks-midday/australia-shares-retreat-on-trumps-virus-comment-idUSL3N2ET0DA,2020-07-21
1,"['Australian June retail sales rise 2.4% m/m, extend strong rebound']",https://www.reuters.com/article/australia-economy-retail/australian-june-retail-sales-rise-2-4-m-m-extend-strong-rebound-idUSS9N2DS026,2020-07-21
2,"['Asia Stocks Mixed, Dollar Extends Drop; Gold Soars: Markets Wrap']",https://www.bloomberg.com/news/articles/2020-07-21/asia-stock-futures-retreat-treasuries-tick-up-markets-wrap,2020-07-21
3,"[""Trump says coronavirus will probably 'get worse before it gets better'""]",https://www.foxbusiness.com/politics/trump-says-coronavirus-will-probably-get-worse-before-it-gets-better,2020-07-21
4,['UPDATE 1-Japan approves dexamethasone as coronavirus treatment'],https://www.reuters.com/article/health-coronavirus-japan-dexamethasone/update-1-japan-approves-dexamethasone-as-coronavirus-treatment-idUSL3N2ET02U,2020-07-21
5,['Twitter Takedown Targets QAnon Accounts'],https://www.nytimes.com/2020/07/21/technology/twitter-bans-qanon-accounts.html,2020-07-21
6,['Oil Slips From Four-Month High on Signs of Swelling Stockpiles'],https://www.bloomberg.com/news/articles/2020-07-21/oil-retreats-on-reported-u-s-stockpile-gain-more-virus-gloom?srnd=markets-vp,2020-07-21
7,['FOREX-Dollar licks wounds as investors fret over U.S. stimulus'],https://www.reuters.com/article/global-forex/forex-dollar-licks-wounds-as-investors-fret-over-u-s-stimulus-idUSL3N2ES4Z3,2020-07-21
8,['UPDATE 1-Software maker Jamf Holding raises $468 mln in U.S. IPO'],https://www.reuters.com/article/jamf-holding-corp-ipo/update-1-software-maker-jamf-holding-raises-468-mln-in-u-s-ipo-idUSL3N2ET00P,2020-07-21
9,['Twitter cracks down on QAnon accounts'],https://www.cnn.com/2020/07/21/tech/twitter-qanon-crackdown/index.html,2020-07-21
10,"['Silver Jumps to 2013 High, Gold Nears Record on Virus Concerns']",https://www.bloomberg.com/news/articles/2020-07-22/silver-jumps-to-2013-high-gold-nears-record-on-virus-concerns?srnd=markets-vp,2020-07-21
11,"[""Japan's July factory activity extends declines into third quarter as demand sags - PMI""]",https://www.reuters.com/article/japan-economy-pmi/japans-july-factory-activity-extends-declines-into-third-quarter-as-demand-sags-pmi-idUSZRN000LM1,2020-07-21
