,title,agency,date
0,['This is the biggest mistake that people make while wearing a face mask'],https://www.marketwatch.com/story/this-is-the-biggest-mistake-people-make-while-wearing-a-face-mask-2020-07-24,2020-07-24
1,"['U.S. oil futures end modestly higher for the session, up over 1% for the week']",http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/MC24SXAQt8U/story.aspx,2020-07-24
2,"['SunTrust analyst throws in the towel on 6 hotel stocks, says sell ahead of earnings']",http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/a1gHxJcVbkA/story.aspx,2020-07-24
3,"['US STOCKS-Wall Street slides as Intel dives, earnings and pandemic weigh']",https://www.reuters.com/article/usa-stocks/us-stocks-wall-street-slides-as-intel-dives-earnings-and-pandemic-weigh-idUSL2N2EV1CD,2020-07-24
4,['UPDATE 2-Chilean health minister sets gradual lifting of Santiago lockdown'],https://www.reuters.com/article/health-coronavirus-chile/update-2-chilean-health-minister-sets-gradual-lifting-of-santiago-lockdown-idUSL2N2EV1BR,2020-07-24
5,"['Wall Street slides as Intel dives, earnings and pandemic weigh']",https://www.reuters.com/article/us-usa-stocks/wall-street-slides-as-intel-dives-earnings-and-pandemic-weigh-idUSKCN24P1BQ,2020-07-24
6,"[""Wall Street bull: Fed liquidity 'punch bowl' poses risks to the markets""]",https://video.foxbusiness.com/v/6174747002001/,2020-07-24
7,['Gold surges to record close as U.S.-China tensions escalate and coronavirus concerns rise'],https://www.cnbc.com/2020/07/24/gold-surges-to-record-close-as-us-china-tensions-escalate-and-coronavirus-concerns-rise.html,2020-07-24
8,['UPDATE 1-ECB tells Monte dei Paschi to boost capital for bad loan deal -sources'],https://www.reuters.com/article/monte-dei-paschi-capital/update-1-ecb-tells-monte-dei-paschi-to-boost-capital-for-bad-loan-deal-sources-idUSL5N2EV5WF,2020-07-24
9,['Stocks Fall for 2nd Day; Dollar Slips With Bonds: Markets Wrap'],https://www.bloomberg.com/news/articles/2020-07-23/asia-stocks-to-drop-after-u-s-fall-bonds-rise-markets-wrap,2020-07-24
10,['Staying Home Is No Burden for Insurers'],https://www.wsj.com/articles/staying-home-is-no-burden-for-insurers-11595614921,2020-07-24
